,Unnamed: 0,text,label
374,374,"En una entrevista con la periodista americana Megyn Kelly, el presidente ruso dejó en evidencia el absurdo de la Ideología de Género y las imposiciones legales de los Lobbys LGBT. Vladimir Putin ha dejado claro su postura con respecto a la ideología de gé",1
3427,3427,"Han prometido que llegaban para cambiarlo todo. Y a fe que piensan cumplirlo a rajatabla. La irrupción del fenómeno Podemos en España, va camino de dinamitar y hacer saltar por los aires, no sólo la estructura política del sistema democrático del 78, sino todo aquello que va implícito en algunas de las creencias y costumbres más arraigadas de la cultura popular de nuestro país. Con especial saña en las que van ligadas, directa o indirectamente, con las liturgias de la tradición cristiana. El comunismo nunca tuvo una relación especialmente fluida con Dios.

El círculo de Podemos en la localidad madrileña de Anchuelo, caracterizado por su especial radicalidad y beligerancia en las redes sociales (llegó a 'justificar' el intento de atentado de Atocha, pidiendo ayuda para el magrebí y acusando de 'terroristas' a los 'medios fascistas') volvía a la carga vomitando sus bilis de rencor hacia una jornada tan aparentemente blanca y cargada de sentimentalismo como el Día de los Reyes Magos. Una de las celebraciones populares más típicamente españolas. 'La tradición de los Reyes Magos representa lo más podrido de este putrefacto país: la monarquía, el consumismo y el cristofascismo #ASCO', tuiteaba a través de su perfil oficial.

Una curiosa declaración de intenciones que amenaza con erradicar, de una tacada, la fiesta por excelencia de los niños de nuestro país durante varias generaciones. Todos hemos crecido con Melchor, Gaspar y Baltasar. Con la magia de las Cabalgatas y la emoción de las esperadas mañanas de cada 6 de Enero. Hasta que llegó Podemos.

La surrealista apreciación, por extraño que parezca, no debería de sorprendernos: todos los régimenes comunistas, a lo largo de la historia, no han permitido más liturgias oficiales que las destinadas a su propia autocomplacencia. Ni en los países de la antigua URSS, ni en China, ni en Cuba, ni en la actual Corea. Para la gente de Podemos, de oriente, sólo llegan a España los refugiados. El resto, es fascismo puro. ",0
82,82,"29 varones frente a 57 mujeres son las estadísticas que nos deja el 2015, la diferencia es que ningún organismo oficial recoge la muerte de estos varones como violencia de género y solo podemos acceder a estos datos recopilándolos de periódicos locales o ",1
2401,2401,"Ciudad de México aprueba su primera constitución y estrena nuevos poderes
El Distrito Federal ya no existe. Con la promulgación de su primera constitución este domingo *NUMBER* de febrero, en el *NUMBER* aniversario de la carta magna mexicana, la capital se convierte oficialmente en Ciudad de México y en la entidad federativa *NUMBER* del país, con una nueva estructura política y derechos fundacionales como el matrimonio igualitario o el uso de la marihuana para fines médicos.
Ese cambio, además, se da con un documento que buscó encapsular ""las aspiraciones de la ciudadanía"" como nunca antes, dijo Katia D'Artigues, integrante de la asamblea constituyente que culminó el *NUMBER* de enero con la firma del documento.
Desde que inició el proceso para redactar el proyecto de Constitución Política de Ciudad de México, que comenzó a ser discutido por la asamblea el *NUMBER* de septiembre de *NUMBER*, los mexicanos fueron invitados a participar y hacer propuestas. Hubo un sondeo oficial sobre los temas más relevantes que debían discutirse, y las autoridades incluso entablaron una alianza con change.org: los ciudadanos podían presentar peticiones a través de esta plataforma, y los redactores del proyecto y hasta el jefe de gobierno, Miguel Ángel Mancera, se comprometían a responder personalmente a las propuestas que más firmas tuvieran.
 Un viaje fantástico, lluvioso y algo solitario por Chile
""Se generó una dinámica de empoderamiento ciudadano"", dijo Aurélien Guilabert, asesor externo para la asamblea constituyente y fundador de Espacio Progresista, una de las organizaciones de la sociedad civil que impulsó la inclusión de diversas voces mexicanas.
A comienzos de *NUMBER*, se formaron colectivos universitarios para impulsar diferentes temáticas para la discusión en la asamblea, como el acceso a derechos digitales —la constitución promete internet gratuito en todos los espacios públicos de Ciudad de México— o la inclusión del libre desarrollo de la personalidad (incorporado en el artículo *NUMBER*, que prevé el derecho a la autodeterminación en cuestiones como identidad de género o derechos sexuales). Para la redacción de la constitución llegaron casi mil propuestas ciudadanas.
""Podría antojarse como que iba a haber poca participación si lo abríamos al público. Finalmente fue lo contrario; me pareció abrumador en un sentido positivo"", dijo el diputado Carlos Gelista, secretario de la comisión de la carta de derechos. ""Hubo quien hizo trabajos completos de su propia constitución"".
E incluso cuando había ciertos límites para la participación ciudadana, como no poder ""entrar físicamente a la asamblea"", reconoció Guilabert, los interesados hallaron la forma de hacerse oír: ""A través de WhatsApp"", dijo, se mandaban mensajes a los diputados constituyentes y sus asesores para cabildear.
Es un cambio radical para una ciudad que, hasta hace una década, no podía elegir quién la gobernaba: hasta *NUMBER*, el presidente mexicano designaba a un regente, que era considerado parte del gabinete federal. La figura se convirtió en un jefe de gobierno electo a partir de una reforma. Y ahora, cuando la constitución entre en vigor en septiembre de *NUMBER*, habrá un gobernador. Los *NUMBER* distritos, llamados delegaciones, pasarán a ser un número todavía indeterminado de ""demarcaciones"" con alcaldías y cabildos propios, y la asamblea legislativa ahora será un congreso.
Las nuevas autoridades serán elegidas a mediados del próximo año. Para entonces, la constitución deberá haber atendido ""muchos retos"", dijo D'Artigues. Varios artículos votados por los constituyentes en jornadas interminables —una de las últimas sesiones de votación duró *NUMBER* horas, la más larga en la historia de México— podrían enfrentar apelaciones por parte de las autoridades federales si se consideran incompatibles con el resto del país. Esta constitución, por ejemplo, incluye un sistema de revocación de mandato, algo inédito en México, lo que podría hacer que algunos políticos intenten derogar algunos artículos, señala Juan Manuel Mecinas, profesor e investigador en derecho constitucional del Centro de Investigación y Docencia Económicas (CIDE).
Mecinas cree que, con la creación de un congreso propio para Ciudad de México, también podría ""aumentar la burocracia"". Un lastre poco deseable en una ciudad donde un grupo de activistas acaba de inaugurar un ""Corruptour"": un bus que recorre —entre otros lugares— una estación de la línea *NUMBER* del metro, cuya construcción estuvo rodeada de denuncias de licitaciones presuntamente amañadas.
Hay otras medidas que han despertado polémica por parte de constitucionalistas, entre ellas el hecho de que nuevos órganos, como un instituto de planeación, tendrían obligatoriamente que consultar a consejos ciudadanos para la toma de decisiones. Para el constitucionalista mexicano Eduardo Castellanos, esos consejos ""constituyen una abdicación de las responsabilidades de los representantes populares al colocar sus facultades esenciales en manos de ciudadanos sin una responsabilidad política, mucho menos legal"". Castellanos cree que esos mecanismos de participación ciudadana ""van a generar ingobernabilidad"".
Buenos Aires ya pasó por un proceso similar y continúa teniendo algunos problemas por ser, como Ciudad de México, sede de autoridades tanto locales como federales. ""Esa doble condición es difícil de resolver y ha traído conflictos interjurisdiccionales"" porque ""conviven dos jefes"", señaló Pablo Riberi, constitucionalista de la Universidad Nacional de Córdoba, Argentina.
Pese a las críticas, los impulsores del proyecto mexicano esperan que pueda servir como ejemplo a seguir. Está previsto que derechos como el acceso al agua potable sean exigibles, lo que significa que los habitantes de la ciudad podrán acudir ante instancias judiciales para demandar acciones específicas de las autoridades. Eso es algo que ""puede replicarse, si sale bien, y ser una fuente de cambio de la relación entre ciudadanos y autoridades"", dijo el diputado Carlos Gelista.
Hay expectativa incluso de que la constitución de Ciudad de México sirva como parangón en otras partes del mundo. ""Espero que la constitución sea un faro para muchas otras ciudades, sobre todo el tema del derecho a la ciudad"", dijo Guilabert. Para Juan Camilo Herrera, profesor de derecho constitucional de la Universidad Pompeu Fabra, podría serlo en aquellos lugares que se convirtieron en ciudades-Estado: ""La inserción de una carta política propia es necesaria para las urbes de este siglo"".
Aunque queda por verse cómo se aplica el texto mexicano. ""No es magia, 'abracadabra' y cambias el mundo"", reconoció D'Artigues, ""pero ya hay constitución"".",0
802,802,"SUBEN LAS PENSIONES 1 EURO Y SUBEN EL RECIBO DE LA LUZ 20 EUROS, LLAMARLES POLÍTICOS, YO LOS LLAMO HIJOS DE .......",1
3259,3259,"El viaje de Pedro Sánchez a un concierto en la playa era ""agenda cultural"", y el gasto en prostíbulos con tarjeta oficial en Andalucía fue, según la vicepresidenta, ""agenda de género"".
Pedro Sánchez no se fue en avión oficial de conciertos a la playa por capricho, sino que se sacrificaba por los creadores e incluyó la cita en su ""agenda cultural"", según la vicepresidenta Carmen Calvo, cansada de tener que aclarar ""obviedades"".

""Ahora me dirán que el gasto en puticlubs con tarjetas de crédito oficiales en Andalucía es una juerga sexista, pero todo el mundo sabe que nuestros chicos allí estaban trabajando en agenda de género"", aclaró Carmen Calvo sin que nadie le preguntara ""porque me sale del páncreas"".
Para evitar más reproches de la extrema derecha, que a su juicio no entiende el enorme sacrificio que tiene para Sánchez obligar a su mujer a estar con él en la zona Vip del Festival de Benicassim tras volar en el avión oficial de la presidencia ""pudiendo estar en casa entretenido con los huesos de Franco"", Calvo detalló el decálogo del Gobierno y exigió a los medios de comunicación que se lo aprendieran.
- El Gobierno no se da comilonas, tiene agenda gastronómica.

- El Gobierno no se va de vacaciones, tiene agenda reflexiva.

- El Gobierno no se entrega a Quim Torra, tiene agenda dialogante.

- El Gobierno no carece de votos, tiene agenda de minorías.

""Un tío con suerte""

La también ministra de Igualdad desmontó la hipótesis de que Pedro Sánchez se pusiera una reunión de cinco minutos con Ximo Puig en Castellón como excusa para fletar el avión presidencial e irse luego a la playa. ""Fue una casualidad. El presidente tiene mucha suerte en general, ahí lo tienen en Moncloa al tío, espero que eso al menos me lo acepten"", terminó.",0
3473,3473,"Todo país hispanoamericano, a excepción de Cuba, es firmante del Pacto de San José, donde se reconoce el derecho a la vida.

Tiene jerarquía constitucional. Sobre esta base se sostiene el argumento de que despenalizar el aborto implicaría ir contra la ley.
La Corte Constitucional de Colombia mantiene una postura de 5 contra 4 que impide la despenalización del aborto.
Todas las magistradas se oponen a la despenalización total del aborto, lo cual desmonta el relato feminista de que es una causa de mujeres.",0
2667,2667,"Donald Trump, el hombre que «amaba» a las mujeres más bellas del planeta
Durante *NUMBER* años, el magnate dirigió Miss Universo. Una de las vencedoras le acusó de acoso y humillación
Entre los bastidores de los concursos de belleza femenina habita a menudo un mundo de egos encontrados, ilusiones inocentes y cuerpos sinuosos que buscan notoriedad cueste lo que cueste. El entorno siempre soñado por un multimillonario narcisista, obsesionado con las mujeres y la gracia física. En *NUMBER*, Donald Trump compró la organización de Miss Universo por *NUMBER* millones de dólares, pasando a controlar los concursos de Miss Universo, Miss EE.UU. y Miss Teen EE.UU. «En estos certámenes se trata de buscar la belleza, la máxima belleza que existe: la de una fémina», declaró entonces el magnate.
La adquisición de la competición por parte Trump coincidió con la elección de Alicia Machado, Miss Venezuela en *NUMBER*, como Miss Universo. Una corona a la postre envenenada. Machado, una beldad de cabello castaño y mirada penetrante, tenía por aquel entonces *NUMBER* años, pesaba *NUMBER* kilos y daba los primeros pasos de una incipiente, pero prometedora carrera sobre la pasarela. En cuestión de meses se frustraron sus ambiciones. ¿Su mayor error? Según Trump, engordar *NUMBER* kilos cuando aún ostentaba la corona de mujer más bella del universo. El multimillonario neoyorquino encolerizó y la humilló públicamente. La acompañó personalmente a un gimnasio de la Gran Manzana, donde había convocados *NUMBER* periodistas, para que sudara la camiseta y comenzara una lucha contra su peso. «Es alguien a quien le gusta comer. No cabe duda», comentó Trump.
Este brutal ataque la sumió en una profunda depresión. «Estuve enferma… padecí anorexia y bulimia durante cinco años», contó la venezolana en una entrevista con «The New York Times», el pasado mayo. Machado tuvo que soportar también que la ridiculizara refiriéndose a ella como «Miss Piggy» (Miss Cerdita) y «Miss Housekeeping» (Miss Ama de casa) por ser latina.
Alicia Machado y Donald Trump en *NUMBER*- ABC
Trump no tuvo ninguna objeción en reconocer que la presionaba para bajar de peso, con el argumento de que mantenerse en excelente forma era su obligación como Miss Universo.
La contendiente demócrata Hillary Clinton se encargó de sacar a la palestra a Machado como cara visible de la actitud machista de Trump, durante el primer debate presidencial. Lejos de retraerse, el republicanó continuó arremetiendo contra Machado, quien el pasado verano obtuvo la ciudadanía estadounidense. «¿Ayudó la corrupta Clinton a la asquerosa Alicia M. a convertirse en ciudadana estadounidense para poder usarla en el debate?», se preguntó Trump en un tuit.
Durante los últimos meses, Alicia defendió a ultranza a Clinton. El miércoles, tras conocer la pesadilla de la derrota, contactó con ella vía telefónica para expresarle su apoyo. «Hablé con ella, me dio la gracias por haberla apoyado en esta campaña. Ni yo lo busqué ni ellos me buscaron llegué por casualidad, y sigo muy firme con mi posición», declaró a Televisa.
Los comentarios xenófobos de Trump sobre los inmigrantes mexicanos también escocieron en muchas de las reinas de la belleza de origen latino. Lupita Jones, ex Miss Universo de México, anunció que su país no participaría en *NUMBER*. La ex Miss Universo Zuleyka Rivera, de Puerto Rico, se retiró del jurado de Miss EE.UU. y la colombiana Paulina Vega, Miss Universo *NUMBER*, tachó su discurso de «injusto y perjudicial». No obstante, no todas atizaron a su «padrino». La Miss Universo mexicana Ximena Navarrete cerró filas en torno al dueño del concurso. «Mi relación de trabajo con Trump siempre ha sido muy buena. No te puedo decir si hizo mal o bien, él se merece todo mi respeto».
Quienes sí tomaron cartas en el asunto tras el ataque a los mexicanos fueron las cadenas NBC, que cancelaron la transmisión del concurso, y Univisión y Televisa que también rompieron lazos profesionales con él.
En septiembre de *NUMBER*, aún siendo precandidato republicano, vendía la compañía que organiza Miss Universo a la empresa de eventos de entretenimiento WME/IMG. ABC ha tratado de ponerse en contacto con ellos, pero han declinado hacer cualquier declaración sobre Trump. Sorprendentemente, la transacción se produjo sólo tres días después de que el magnate comprara a la cadena NBC la parte que aún no poseía de esa empresa, convirtiéndose en el único propietario. «Disfruté mucho siendo el dueño del Miss Universo, Miss EE.UU y Miss Teen EE.UU. Cuando los adquirí, estaban en serios problemas. Ha sido un honor convertirlos en todo un éxito mundial», dijo en un comunicado.
Trump se apeó de las competiciones de belleza para asumir una nueva labor mucho más ambiciosa; dirigir el país más poderoso del universo. Por aquel entonces, sólo él lo sabía.",0
2572,2572,"Margarita Zavala renuncia a la candidatura presidencial
En un adelanto de su participación en el programa Tercer Grado, la expanista anuncia que ya no competirá en el proceso electoral; decisión es por 'honestidad política', afirma
A cuatro días del segundo debate presidencial, Margarita Zavala anunció su renuncia a su candidatura independiente ""por un principio de congruencia y honestidad política"".
En un adelanto del programa Tercer Grado, en Foro TV, en el que estuvo como invitada, la expanista aseguró que se bajaría de la contienda electoral.
""Por eso he decidido y aprovecho aquí para decirle a los ciudadanos que retiro mi candidatura de la contienda por un principio de congruencia, de honestidad política y para dejar en libertad a quienes generosamente me han apoyado y tomen su decisión como se debe tomar en esta difícil contienda"", aseguró.
El pasado *NUMBER* de abril, la entonces candidata descartó cualquier posibilidad de declinar a favor de otro candidato y aseguró que haría toda la campaña.
""Yo haré toda la campaña y quienes deciden son los ciudadanos"", dijo.
El anuncio de exprimera dama se da un día después de que el candidato presidencial de la Coalición por México al Frente, Ricardo Anaya, anunciara que buscaría a la expanista Margarita Zavala para que decline a su favor y con ello ""consolidar un proyecto ganador"" rumbo a las elecciones del *NUMBER* de julio próximo.
""Sí, por supuesto. Mira yo la tengo en un extraordinario concepto a Margarita; yo estoy en la mejor disposición. Yo te puedo hablar de mi parte hacia ella: la tengo en muy buen concepto, la apreció y me encantaría que pudiéramos hacer equipo en este momento o en algún otro momento. Estoy no sólo abierto, sino en la mejor disposición"", aseguró.
Esta mañana, Zavala participó en los Diálogos por México organizado por la Coparmex, destacó que la Reforma Educativa requiere el acompañamiento del Estado a los maestros con mayor capacitación y la mejora en la infraestructura educativa.
Respecto a su estrategia en materia de seguridad, explicó que en caso de ganar las elecciones fortalecerá a la policía con capacitación, controles de confianza a los uniformados y a los ministerios públicos y mencionó que la solución para combatir la inseguridad es que el Estado enfrente a los delincuentes, con policías mejor preparados, así como fortalecer el sistema de justicia.
En cuanto al sistema de pensiones, afirmó que siete de cada *NUMBER* personas en el país no tienen ese derecho ""eso es una bomba de tiempo"", por lo que planteó revisar el sistema financiero a fin de incrementar la aportación de los trabajadores y reducir las cuotas de los patrones que, según ella, no han fomentado la formalidad laboral.",0
2546,2546,"Margarita Zavala abandonará al PAN y buscará candidatura independiente
De acuerdo con el noticiero de Ciro Gómez Leyva, la ex primera dama habría comunicado a su equipo de colaboradores la decisión de dejar al partido.
Margarita Zavala dejará en las próximas horas el Partido Acción Nacional (PAN) y registraría este fin de semana su candidatura independiente para competir por la Presidencia de la República en *NUMBER*. La ex primera dama anunció que será este viernes cuando aborde el tema.
De acuerdo con el noticiero de Ciro Gómez Leyva, la ex primera dama habría comunicado a su equipo de colaboradores la decisión de dejar al partido, debido a que no hay garantías de que la competencia por la candidatura del Frente Amplio Democrático (constituido por el PAN, PRD y Movimiento Ciudadano) sea transparente.
Horas más tarde, la aún panista dio a conocer a través de su cuenta de Twitter que a las *NUMBER* horas del viernes dará un mensaje respecto a este tema.
La esposa del expresidente Felipe Calderón tiene ante la medianoche del domingo para presentar los documentos para registrarse como precandidata independiente por la Presidencia.
El martes pasado, en ese mismo espacio informativo, Margarita Zavala dijo que haría todo lo posible por ser la abanderada de esta alianza, pero no descartó la posibilidad de presentarse como candidata independiente.
Algunas de las encuestas publicadas por diversos medios de comunicación y agencias especializadas la colocan como la panista mejor posicionada en la contienda presidencial.
Este domingo *NUMBER* de octubre vence el plazo para el registro de los aspirantes independientes, de acuerdo con la convocatoria establecida por el Instituto Nacional Electoral (INE).",0
2857,2857,"Quiere convertir AMLO a 'Los Pinos' en complejo cultural
La residencia que ha albergado a *NUMBER* presidentes podría convertirse en una sala de conciertos, cine o biblioteca de ganar López Obrador las elecciones
El candidato a la presidencia de México por la coalición Juntos Haremos Historia, Andrés Manuel López Obrador lanzó una convocatoria para decidir en qué se convertirá la Residencia Oficial de Los Pinos en caso de que gané la presidencia en las elecciones del próximo *NUMBER* de julio.
Su coordinadora de campaña, Tatiana Clouthier publicó en su cuenta de Twitter un video de corta duración con el hashtag #todossomoslospinos, donde explica a la ciudadanía las posibles opciones de transformar la actual casa presidencial en un cine para niños, un espacio de diversidad, una colección de patrimonio cultural vivo o una biblioteca.
A través de la pagina *URL* los interesados podrán opinar acerca del futuro del espacio de *NUMBER* hectáreas, el cual se convertiría en el complejo cultural más grande del mundo.
El tabasqueño ha declarado en diversas ocasiones que en caso de ganar la Presidencia su domicilio sería en Palacio Nacional, ubicado en el centro de la ciudad, y no en ""Los Pinos"", que se encuentra en San Miguel Chapultepec, I Sección.
La casa de gobierno está asentada en lo que fue el rancho La Hormiga, que originalmente albergaba dos casas, una de ellas tipo chalet inglés (actualmente llamada ""Lázaro Cárdenas""), a la cual llegó a vivir el ex presidente Lázaro Cárdenas por primera vez en *NUMBER*, después de hacerle adecuaciones a la propiedad y de cambiarle el nombre por el de ""Los Pinos"", en memoria del nombre que tenía una huerta cercana a Tacámbaro, Michoacán, donde conoció a su esposa, Amalia Solórzano.",0
4,4," La fiesta en Sevilla por el vuelco electoral se alargó hasta casi las dos de la madrugada. La algarabía se desbordó en las calles de la capital andaluza. La marcha militar ""Soldadito español"" de Jacinto Guerrero Torres puso la nota musical a la velada. ",1
2088,2088,"Personas que usen gafas serán consideradas discapacitadas a partir de *NUMBER*
El Ministerio de Sanidad, Servicios Sociales e Igualdad ha emitido un comunicado el pasado lunes haciendo oficial que todas las personas que usen gafas serán consideradas a partir de *NUMBER* discapacitadas, beneficiándose así de todos los derechos que disfrutan los mismos de su condición.
La discapacidad es aquella condición bajo la cual ciertas personas presentan deficiencias físicas, mentales, intelectuales o sensoriales a largo plazo que al interactuar con diversas barreras, puedan impedir su participación plena y efectiva en la sociedad. La vista, en este caso, es un problema cada vez más común en nuestra sociedad.
Así pues, todas las personas que usen gafas dispondrán a partir de *NUMBER* de un carnet para discapacitados con beneficios fiscales y prestaciones sociales que antes no disfrutaban, así como preferencia a la hora de conducir, gafas 3D especiales en los cines, precios exclusivos en los gimnasios ya que siempre se les empañan las gafas, y en el colegio nadie más podrá volver a llamarles ""cuatro ojos"", ya que será motivo de sanción económica.",1
3114,3114,"Estudios Feministas realizados por la Union de Feministas, Afroempoderadas y Oprimidas de la Universidad Autonoma de Santo Domingo (UASD) demostraron que el tener relaciones sexuales durante el embarazo es una micro-agresion al feto ya que durante este tiempo el feto es molestado por el embate del miembro viril opresor y agresor masculino.
Esta accion puede desembocar en futuras frustaciones del feto (aclarando que es feto debido que el aun no ha elegido a que genero va a pertenecer), y sobre todo en la madre del feto, ya que ella es victima de la sociedad por ser llevada a la obligacion de ser madre y tener que volver a tener dentro de su cuerpo la agresion sexual.

Por ultimo informaron este domingo que estaran protestando al frente del obelisco macho, y pediran su eliminacion del lugar donde se encuentra ya que este la mayor representacion falica y opresora del patriarcado en nuestro pais.",0
89,89,"A lo mejor para los señores RICOS de PODEMOS, Amancio Ortega debería gastarse su dinero en buenos restaurantes y en vivir como su amigo MADURO y compañías",1
